title,heading,content,tokens
Slovenia,PROGRAMME COMMITTEE FOR THE OPERATIONAL COORDINATION OF SCIENTIFIC RESEARCH AND INNOVATION POLICY,Slovenia's PROGRAMME COMMITTEE FOR THE OPERATIONAL COORDINATION OF SCIENTIFIC RESEARCH AND INNOVATION POLICY (2022 - Ongoing). Programme Committee will enable coordination of RDI policy at both strategic and implementation level It has the following objectives: To improve the effectiveness of investments for faster knowledge transfer and easier commercialisation of R D I solutionsIt uses Horizontal STI coordination bodies as policy instruments.,61
Slovenia,THE RECOVERY AND RESILIENCE PLAN,"Slovenia's THE RECOVERY AND RESILIENCE PLAN (2022 - 2026). The Recovery and Resilience Plan RRP is a national programme of reforms and investments to mitigate the economic and social impact of the Covid 19 pandemic in Slovenia The planned actions will support long term sustainable growth until 2026 and address the challenges of the green and digital transition It has the following objectives: Contribute to achieving the goals of the Integrated National Energy and Climate Plan of the Republic of Slovenia hereinafter NECP and the commitments to achieve climate neutrality by 2050 To strengthen and modernise the digital infrastructure and support the development of advanced technological solutions and next generation services This will strengthen the efficiency and resilience of business operations in all areas and increase innovation and competitiveness within the new digital business and social environment Smart sustainable and inclusive growth Support investment in research and innovation which is a key factor in enhancing productivity and supporting economic development Mitigate the economic and social impact of the covid 19 pandemic in SloveniaIt uses Strategies, agendas and plans as policy instruments.",181
Slovenia,THE KNOWLEDGE PLATFORM,Slovenia's THE KNOWLEDGE PLATFORM (2022 - Ongoing). The Knowledge Platform is an initiative of the Ministry of Higher Education Science and Innovation to establish a more permanent framework for regular information and discussion with stakeholders on current European initiatives and policies as well as for cooperation co creation and exchange of views in the fields of higher education research and innovation It has the following objectives: Strengthen co design and joint implementation of policies in higher education research and innovation Support the integration of the Slovenian higher education research and innovation area into the European Research Area European Higher Education Area and European Education Area Effectively promote synergies between higher education research and innovation and public engagement through stakeholder consultations Build together a knowledge society that can make a significant contribution to the well being of citizensIt uses Networking and collaborative platforms as policy instruments. and it has a budget of Less than 1M euros.,155
Slovenia,IMPROVEMENT OF THE OPERATION AND CAPABILITIES OF STI MINISTRIES,Slovenia's IMPROVEMENT OF THE OPERATION AND CAPABILITIES OF STI MINISTRIES (2023 - Ongoing). The reconstruction of the Government in January 2023 will ensure greater operational efficiency and even more effective implementation of the Government s tasks based on the commitments made in the Coalition Agreement Some areas of work are being transferred between ministries and three new ministries are being created to support the main priorities of the new government The ministries will be smaller in scope and content and therefore more efficient and responsive It has the following objectives: Dealing effectively with economic and social conditionsIt uses Creation or reform of governance structure or public body as policy instruments.,110
Slovenia,RECOVERY AND RESILIENCE OFFICE,Slovenia's RECOVERY AND RESILIENCE OFFICE (2021 - Ongoing). The Recovery and Resilience Office is a national coordination unit responsible for the implementation of the Recovery and Resilience Facility in the Republic of Slovenia It has the following objectives: Mitigate the economic and social impact of the covid 19 pandemic in SloveniaIt uses Creation or reform of governance structure or public body as policy instruments.,64
Slovenia,COLLABORATIVE RESEARCH AND DEVELOPMENT PROGRAMMES ON A SCALE OF TRL 3 6,Slovenia's COLLABORATIVE RESEARCH AND DEVELOPMENT PROGRAMMES ON A SCALE OF TRL 3 6 (2023 - 2026). Implementation of R D I programmes by consortia of public research organisations and companies on a scale of TRL 3 6 contributing to the green transition and the digital transition It has the following objectives: The objective of the call for proposals is to co fund R D I programmes by consortia of at least three public research organisations and at least four companies contributing to the green transition and digitisation The purpose is to promote R D I programmes in consortia of public research organisations and enterprises in the field of green transition and digitalisation for the development of new or improved products processes or services in line with the RRF with the aim of br identify develop and deploy breakthrough technologies and high risk solutions in Slovenia br building on basic research achievements and transferring them to a highly competitive economy br achieving deep technology and thus a higher quality of life effectively addressing societal challenges br cooperation between business and research organisations involving other stakeholders in society multi stakeholder approach br stimulating private investment in research and development strengthening a socially and environmentally responsible research and enterprise sector and increasing the productivity and competitiveness of the economy in the global marketIt uses Project grants for public research as policy instruments. and it has a budget of 1M-5M euros.,237
Belgium Federal government,PNEC,"Belgium Federal government's PNEC (2021 - Ongoing). This plan outlines the transition to a sustainable reliable and affordable energy system according to the five dimensions of the European Energy Union and in line with the objectives set for 2030 br a low carbon EU reduction of greenhouse gas emissions and development of renewable energies br energy efficiency br security of supply br the internal market br research innovation and competitiveness It has the following objectives: This plan aims to develop the five dimensions of the European Energy Union and in line with the objectives set for 2030 a low carbon EU reduction of greenhouse gas emissions and development of renewable energies energy efficiency security of supply the internal market research innovation and competitivenessIt uses Strategies, agendas and plans as policy instruments.",131
Belgium Federal government,TOOL FOR MONITORING CLIMATE POLICIES AND MEASURES 2021 2030,"Belgium Federal government's TOOL FOR MONITORING CLIMATE POLICIES AND MEASURES 2021 2030 (2021 - 2030). Establishment of a roadmap that will include the planning of the measures to be undertaken as well as the indicators used to monitor these measures in the climate change field This roadmap is based on 22 themes and divided into 9 priority areas It has the following objectives: To achieve full implementation of the provisions of the Government Agreement the National Energy Climate Plan and the Recovery and Resilience Plan aiming to greenhouse gas reduction and adaptation and resilience to climate changeIt uses Strategies, agendas and plans as policy instruments.",105
Hungary,INFRASTRUCTURE AND SKILLS DEVELOPMENT FOR PRACTICE ORIENTED HIGHER EDUCATION,"Hungary's INFRASTRUCTURE AND SKILLS DEVELOPMENT FOR PRACTICE ORIENTED HIGHER EDUCATION (2022 - Ongoing). The call aims to support the development of infrastructure and skills for practice oriented training in higher education institutions It has the following objectives: Energy efficient new buildings or parts for practical education of higher education institutions Energetic reconstruction transformation and modernisation of new buildings or parts for practical education of higher education institutions Development of supporting directly the practical education training by the digital infrastructure acquisition and installation of digital devices digital skill development of the students and workers of higher education activities related to digital supporting of educational activities Activities related to practice oriented training of higher education skill development of the students and workers of higher education support of internationalization activitiesIt uses Institutional funding for public research, Dedicated support to research and technical infrastructures as policy instruments. and it has a budget of 50M-100M euros.",151
Ireland,FRAMEWORK TO ENHANCE RESEARCH INTEGRITY IN COLLABORATIONS,"Ireland's FRAMEWORK TO ENHANCE RESEARCH INTEGRITY IN COLLABORATIONS (2022 - Ongoing). The purpose of this document is to provide guidance for researchers on how to reinforce a culture of responsible conduct of research research integrity in their collaborations so they can as far as possible avoid serious research misconduct and unacceptable research practices occurring during the collaborative work It has the following objectives: Understanding that upholding research integrity principles is the responsibility of all partners in a research collaboration Acknowledging and facilitating where appropriate the different research practices across disciplines and cultures Putting in place good governance arrangements in accordance with standard collaboration agreements including dispute resolution mechanisms Complying with relevant institutional national and international guidelines and laws and understanding the potential differences between the guidelines and laws that apply to each research partner Agreeing at the outset how research misconduct investigations will be managed if they arise acknowledging that it can be complex when it involves different institutions countries and or sectors Agreeing how research data and outputs will be shared with partners and the world and ensuring openness about financial political or personal influences that a researcher brings to a collaborationIt uses Strategies, agendas and plans, Science and technology regulation and soft law, Networking and collaborative platforms as policy instruments.",212
Poland,START IN POLAND PROGRAM,"Poland's START IN POLAND PROGRAM (2016 - Ongoing). In June 2016 the largest program for startups in Central and Eastern Europe was launched Start in Poland which supports young innovative companies locating their business in Poland at every stage of their development from the incubation and acceleration phase through development and international expansion br br Activities in the field of capital components in which an external investor provides capital to a startup have been consolidated and cooperated by the Polish Development Fund its companies PFR Ventures Then in the field of acceleration programs the Polish Agency for Enterprise Development plays a leading role Support measures from investment funds as well as from private funds It has the following objectives: The purpose of the Start In Poland program is to create an ecosystem for the development of startups in Poland which will provide conditions for the growth of the number of startups and enterprises with high development potential The Start In Poland program also aims to create favorable conditions for the operation of startups at every stage of their development starting from the incubation phase through development and international expansion It is the largest program of this kind in Central and Eastern Europe also addressed to foreign entities one of the SIP components is a program that aims to encourage foreigners to set up startups in Poland and develop their activitiesIt uses Strategies, agendas and plans as policy instruments. and it has a budget of 100M-500M euros.",246
Belgium Federal government,DEFENCE RELATED RESEARCH ACTION,Belgium Federal government's DEFENCE RELATED RESEARCH ACTION (2022 - 2030). The Ministry of Defence seeks to further develop and strengthen the links between Defence the national research institutions and the industry by gradually increasing its R T contribution as from 2022 with a view to reaching 2 of the total defence effort in 2030 It has the following objectives: Support and strengthen scientific excellence related with defence preferibly in the triple helix formIt uses Institutional funding for public research as policy instruments. and it has a budget of 5M-20M euros.,90
Germany,ERA FELLOWSHIPS GREEN HYDROGEN,Germany's ERA FELLOWSHIPS GREEN HYDROGEN (2021 - Ongoing). With this scholarship programme DAAD supports the implementation of the Strategic Research and Innovation Agenda SRIA and serves to promote subject related young scientists in research and teaching at universities and research institutions in Germany and in the EFR It has the following objectives: Support and accompany the Strategic Research and Innovation Agenda SRIA Qualification of future specialists and young scientists Strengthen and establish international cooperation and networks especially in the ERA Enhance interdisciplinarity and innovative capacity and provide substantive research contributionsIt uses Fellowships and postgraduate loans and scholarships as policy instruments. and it has a budget of 1M-5M euros.,108
Germany,NATIONAL SUPPORT TO EUROPEAN UNIVERSITIES,Germany's NATIONAL SUPPORT TO EUROPEAN UNIVERSITIES (2020 - Ongoing). With this national accompanying programme for German universities the DAAD supports the initiative of the European Commission for European Universities It has the following objectives: Support to German universities in the European University Network in the fields of teaching research and third mission Achieve a better European dimension for German universities and preparing them for further EU tenders Improved performance and competitiveness of the higher education system with a strong knowledge triangle of education research and innovation Supporting a united and strong Europe and a new generation of EuropeansIt uses Institutional funding for public research as policy instruments.,107
Germany,POSTDOCTORAL NETWORKING TOUR IN ARTIFICIAL INTELLIGENCE,"Germany's POSTDOCTORAL NETWORKING TOUR IN ARTIFICIAL INTELLIGENCE (2020 - Ongoing). The programme enables international postdocs to identify suitable hosts cooperation partners in Germany It has the following objectives: Fostering the international reputation of Germany as a strong location for research in artificial intelligence Initiating international cooperation of scientists in Germany Recruitment of highly qualified researchersIt uses Fellowships and postgraduate loans and scholarships, Networking and collaborative platforms, Labour mobility regulation and incentives as policy instruments. and it has a budget of Less than 1M euros.",84
Portugal,RECOVERY AND RESILIENCE PLAN RRP COMPONENT 14 Hydrogen and Renewables,"Portugal's RECOVERY AND RESILIENCE PLAN RRP COMPONENT 14 Hydrogen and Renewables (2021 - 2026). PRR is a national program which aims to implement a set of reforms and investments aimed to restore sustained economic growth after the COVID 19 pandemic and to reinforce the countries convergence with Europe over the next decade It has the following objectives: To promote the energy transition by supporting renewable energy with a strong focus on the production of hydrogen and other gases from renewable sources In the context of the Autonomous Regions to leverage energy from renewable sources To foster economic growth and employment through the development of new industries and associated services as well as research and development To promote the acceleration of technological progress and the emergence of new technological solutions with high synergies with the business sector and to reduce domestic energy dependence either through the production of energy from endogenous sources or through the direct use of hydrogen or indirectly eg green ammonia and thus contribute significantly to improve the trade balance and strength the resilience of the national economyIt uses Strategies, agendas and plans as policy instruments.",188
Germany,DAAD FELLOWSHIP PROGRAMME FOR GERMAN COMPUTER SCIENTISTS,Germany's DAAD FELLOWSHIP PROGRAMME FOR GERMAN COMPUTER SCIENTISTS (2019 - Ongoing). With this programme DAAD supports the German government s AI strategy by enabling stays of German postdocs PhD students and master students for civilian research at foreign excellence centres of computer science and artificial intelligence It has the following objectives: Support and accompany the German government s AI strategy Qualification of early career AI experts Strengthen and establish international cooperation and networks among international centres of AI excellence Enhance interdisciplinarity intersectorality and innovative capacity provide substantive research contributionsIt uses Fellowships and postgraduate loans and scholarships as policy instruments. and it has a budget of 1M-5M euros.,107
Germany,KONRAD ZUSE SCHOOLS OF EXCELLENCE IN ARTIFICIAL INTELLIGENCE,"Germany's KONRAD ZUSE SCHOOLS OF EXCELLENCE IN ARTIFICIAL INTELLIGENCE (2022 - Ongoing). With annual funding of 600 000 up to 3 million the three Zuse Schools together with university and non university research institutions support the German government s strategy to recruit AI specialists and train highly talented German and international graduates at Master s and doctoral level Funded individuals get access to a comprehensive range of support services provided by fellows from academia and industry The connection to the German economy at home and abroad is part of the programme It has the following objectives: Contributing to the professional profile of the participating universities in research based teaching in the AI sector Meeting the demand for scientists and expertise in the AI sector in Germany Cross disciplinary and cross location networking of science and industry and the intensification of knowledge transfer in the AI sector Increasing the excellence and prospects of higher education and research through international exchange and the international attractiveness of Germany as a science location in the AI sector Raising the profile of AI content in research teaching business and societyIt uses Fellowships and postgraduate loans and scholarships, Strategies, agendas and plans, Regulatory oversight and ethical advice bodies, Centres of excellence grants as policy instruments. and it has a budget of 5M-20M euros.",217
Poland,NCN ARTIQ,"Poland's NCN ARTIQ (2022 - 2027). The ARTIQ call provides for co financing of basic research by the National Science Center and industrial research development or pre implementation work and support for the establishment of special purpose vehicles by the National Center for Research and Development This goal is to be achieved by creating three Centers of Excellence in the field of artificial intelligence CD AI understood as highly specialized teams operating at Polish entities led by high class scientists Leaders with an international reputation and outstanding scientific implementation and organizational achievements It has the following objectives: The aim of the competition is to co finance projects that may contribute to increasing Poland s scientific and R D potential in the field of artificial intelligenceIt uses Grants for business R&D and innovation, Institutional funding for public research as policy instruments. and it has a budget of 5M-20M euros.",148
Portugal,RECOVERY AND RESILIENCE PLAN RRP COMPONENT 11 Industry Decarbonization,"Portugal's RECOVERY AND RESILIENCE PLAN RRP COMPONENT 11 Industry Decarbonization (2021 - Ongoing). PRR is a national program which aims to implement a set of reforms and investments aimed to restore sustained economic growth after the COVID 19 pandemic and to reinforce the countries convergence with Europe over the next decade It has the following objectives: Aims to decarbonize the industry and business sector while promoting a paradigm shift through the implemention of measures of the 2030 National Energy and Climate Plan PNEC A central strategic objective is to accelerate the transition to a carbon neutral economy and in parallel to promote industry and companies competitiveness through its decarbonization reduction of energy consumption and the promotion of endogenous energy sources Support the digital transformation through existing or emergent digital solutions namely concerning smart solutions for measurement monitoring data treatment for management and optimisation of processes reduction of consumption and polluting emissions increasing efficiency promoting circular economy and minimizing the carbon footprintIt uses Strategies, agendas and plans as policy instruments.",169
Finland,FINNA FI,Finland's FINNA FI (2013 - Ongoing). Finna fi is a search service that collects material from hundreds of Finnish organisations under one roof It has the following objectives: Finna is home to millions of items of cultural and scientific material in Finland Hundreds of Finnish organisations such as archives libraries and museums bring their unique content to Finna The National Library of Finland maintains and develops the Finna service continuously in cooperation with archives libraries museums and other partners The objective is to make finding and using information and learning new lessons as easy and secure as possibleIt uses Information services and access to datasets as policy instruments. and it has a budget of 1M-5M euros.,116
Finland,FINDATA,Finland's FINDATA (2019 - Ongoing). Findata grants permits for the secondary use of social and health care data and improves data protection for individuals It has the following objectives: Grants permits for secondary use of social and health care data Compiles combines and pre process data and offer tools for analysingIt uses Creation or reform of governance structure or public body as policy instruments. and it has a budget of 1M-5M euros.,72
Finland,CITIZEN SCIENCE,"Finland's CITIZEN SCIENCE (2020 - Ongoing). Citizen science is scientific research carried out partly or fully by ordinary people who can help carry out research in a number of ways It has the following objectives: Strengthening social education and innovation Increasing the impact of research in society Increasing interaction between researchers policy makers and citizensIt uses Public awareness campaigns and other outreach activities, Science and technology regulation and soft law as policy instruments.",73
Spain,GRANTS FOR THE CONSERVATION AND RESTORATION OF HABITATS AND MARINE SPECIES AND PROTECTED MARINE SPACES,Spain's GRANTS FOR THE CONSERVATION AND RESTORATION OF HABITATS AND MARINE SPECIES AND PROTECTED MARINE SPACES (2019 - Ongoing). Funding of projects to contribute to the consolidation of green infrastructure through the conservation and restoration of habitats and marine species and protected marine spaces It has the following objectives: Generate knowledge that allows for the coherent establishment of green infrastructure and ecological connectivity in the coastal and marine environmentIt uses Project grants for public research as policy instruments. and it has a budget of 5M-20M euros.,86
Finland,FAIRDATA FI,Finland's FAIRDATA FI (2018 - Ongoing). The Fairdata service portfolio offers easy to use storage sharing and publication services for research data including preservation services that ensure usability for decades and up to centuries It has the following objectives: Research data is an essential part of good scientific practice and Fairdata fi services provide help in every phase of the research cycle The services are offered free of charge to Finnish universities universities of applied sciences and state research institutesIt uses Dedicated support to research and technical infrastructures as policy instruments. and it has a budget of 1M-5M euros.,99
Poland,EUROPEAN FUNDS FOR A MODERN ECONOMY,"Poland's EUROPEAN FUNDS FOR A MODERN ECONOMY (2021 - Ongoing). FENG program budget EUR 7 9 will support the implementation of research and development innovation and projects that increase the competitiveness of the Polish economy The program will benefit from entrepreneurs institutions from the science sector consortia of enterprises and business environment institutions in particular innovation centres It has the following objectives: The purpose of the instrument is to develop and strengthen the research and innovation capabilities of enterprises through the implementation of R D activities implementation of innovations in connection with the adaptation of enterprises activities to the challenges indicated in the European Green Deal and related to digitization development of research infrastructure internationalization of activities as well as the increase of competences frame The purpose of the instrument is to support R D projects carried out by newly established technology companies start ups including in particular spinoffs originating from scientific units and founded by scientists who want to commercialize their inventions technologies research results in the future as well as from the enterprise sector The aim of the activity is to finance research and development projects that have been awarded the Seal of Excellence certificate under the EIC Accelerator instrument of the Horizon Europe Programme IPCEI Important Projects of Common European Interest projects allow Polish entrepreneurs to gather specialist knowledge and enter value chains in the field of breakthrough technologies They are conducive to the internationalization of Polish enterprises through the possibility of establishing close cooperation with entrepreneurs from other EU countries operating in the field of advanced technologies Ultimately they will also stimulate the export of high tech products Joint Research Undertakings are aimed at directing the activity of entrepreneurs and scientific and industrial consortia to the implementation of R D works on technological solutions the need for which will be defined by the partners of the Joint Research Undertaking The objective of the measure is to support the implementation of research and development works of significant social and economic importance in the model of innovative public procurementIt uses Grants for business R&D and innovation, Institutional funding for public research, Loans and credits for innovation in firms as policy instruments. and it has a budget of More than 500M euros.",373
Austria,FINANCING AGREEMENT BETWEEN THE AUSTRIAN FEDERAL MINISTRY OF EDUCATION SCIENCE AND RESEARCH BMBWF AND THE AUSTRIAN SCIENCE FUND FWF,Austria's FINANCING AGREEMENT BETWEEN THE AUSTRIAN FEDERAL MINISTRY OF EDUCATION SCIENCE AND RESEARCH BMBWF AND THE AUSTRIAN SCIENCE FUND FWF (2021 - Ongoing). By means of this financing agreement the FWF as Austria s central funding organization for basic research receives a global budget over a 3 year period and is thereby provided with stable resources and the means to autonomously fulfill its mission to support the ongoing development of Austrian science at a high international level It has the following objectives: To strengthen Austria s international performance and capabilities in science and research as well as the country s attractiveness as a location for high level scientific activities primarily by funding top quality research projects for individuals and teams and by enhancing the competitiveness of Austria s innovation system and its research facilities To develop Austria s human resources for science and research in both qualitative and quantitative terms based on the principle of research driven education To emphasize and enhance the interactive effects of science and research with all other areas of culture the economy and society and in particular to increase the acceptance of science and research through concerted public relations activities Implementation of the objectives underlying the research technology and innovation pact FTI Pakt within the scope of the relevant tasks assigned to the FWF by lawIt uses Institutional funding for public research as policy instruments. and it has a budget of 100M-500M euros.,238
Spain,SUSTAINABLE AUTOMOTIVE TECHNOLOGICAL PLAN,Spain's SUSTAINABLE AUTOMOTIVE TECHNOLOGICAL PLAN (2021 - Ongoing). Support for strategic cooperative R D projects led by companies in application technologies in the automotive field It has the following objectives: Contribute to the development of relevant technologies for application in the automotive field Enable a rapid recovery of the sector based on the strengthening of innovative capacities Addressing the challenges of sustainable mobility zero emissions and connected and autonomous vehicles both in the manufacturing environment and in the different associated infrastructures Move faster towards sustainable and interconnected models of transport that allow for better traffic managementIt uses Grants for business R&D and innovation as policy instruments. and it has a budget of 20M-50M euros.,114
Ireland,TECHNOLOGICAL UNIVERSITY TRANSFORMATION FUND,Ireland's TECHNOLOGICAL UNIVERSITY TRANSFORMATION FUND (2020 - 2023). The Technological Universities Transformation Fund TUTF is a 3 year fund totalling 90 million from the Department of Further and Higher Education Research Innovation and Science DFHERIS to assist and support the development and progression of technological universities It has the following objectives: Increased national and international student numbers High quality student experience in terms of facilities resources and the TU environment Competitiveness to attract national and international research funding Durable collaborations with industry employers and other partners High quality of teaching and researchIt uses Institutional funding for public research as policy instruments. and it has a budget of 50M-100M euros.,109
Finland,PROOF OF CONCEPT FUNDING,Finland's PROOF OF CONCEPT FUNDING (2023 - Ongoing). Funding will promote the utilisation and commercialisation of research as well as other societal impact The benchmark for the scheme is the European Research Councils Proof of Concept Grant It has the following objectives: To promote versatile utilisation of research results To encourage researchers to test their research results in practical settings or develop new approaches to address the needs of industry public administration or the third sectorIt uses Project grants for public research as policy instruments. and it has a budget of 5M-20M euros.,93
Finland,EQUALITY AND DIVERSITY IN FINNISH HIGHER EDUCATION INSTITUTIONS,"Finland's EQUALITY AND DIVERSITY IN FINNISH HIGHER EDUCATION INSTITUTIONS (2022 - Ongoing). The KOTAMO project carried out in 20212022 examined the state of equality nondiscrimination and diversity among teaching and research staff in Finnish higher education institutions as well as the ways in which the institutions have promoted these aspects It has the following objectives: To examine the state of equality non discrimination and diversity among teaching and research staff in Finnish higher education institutions and to propose recommendations for measures to address the problems identifiedIt uses Strategies, agendas and plans as policy instruments. and it has a budget of Less than 1M euros.",104
Spain,GRANTS TO PROMOTE THE CIRCULAR ECONOMY,Spain's GRANTS TO PROMOTE THE CIRCULAR ECONOMY (2022 - Ongoing). These grants respond to the provisions of the Strategic Project for Economic Recovery and Transformation PERTE in Circular Economy approved by the Council of Ministers on March 8 2022 which includes 2 Lines of action one focused on actions on key sectors textile plastic and capital goods for renewable energies and another aimed at transversal actions to promote the circular economy in companies It has the following objectives: Promote the sustainability and circularity of industrial and business processes to improve competitiveness and innovation within the framework of a circular economy Support for key sectors of the circular economy such as textiles plastics and capital goods Support transversal actions to promote the circular economy in companiesIt uses Grants for business R&D and innovation as policy instruments. and it has a budget of 100M-500M euros.,143
Hungary,PARTICIPATION IN THE NATIONAL NETWORK OF APPLIED RESEARCH INSTITUTES,Hungary's PARTICIPATION IN THE NATIONAL NETWORK OF APPLIED RESEARCH INSTITUTES (2021 - Ongoing). The call funded from the National Research Development and Innovation Fund aims to support the competitiveness of the members of the National Network of Research Institutes and the Hungarian national economy through the coordination of applied research and development and more broadly entrepreneurial activities of the member institutions as well as to exploit synergies between the members to support knowledge and technology transfers and to emphasise an interdisciplinary approach It has the following objectives: Involvement of enterprises in complex innovative technology development Operation of the Network Centre Valorisation collecting and mentoring Hungarian innovationsIt uses Grants for business R&D and innovation as policy instruments. and it has a budget of 1M-5M euros.,124
Spain,PLEAMAR PROGRAMME,Spain's PLEAMAR PROGRAMME (2016 - Ongoing). Grants for the improvement of knowledge and conservation and restoration actions and to promote the sustainability of fishing and aquaculture activities through R D I It has the following objectives: Improve the environmental state of the marine environment in the fishing and aquaculture sectorsIt uses Project grants for public research as policy instruments. and it has a budget of 5M-20M euros.,67
Spain,BIOGAS ROADMAP,"Spain's BIOGAS ROADMAP (2022 - Ongoing). The Roadmap identifies the challenges and opportunities for the progressive development of biogas in Spain providing a series of measures aimed at boosting and promoting it and taking advantage of the European consensus on the role that this energy vector should play in the context of green recovery It has the following objectives: The Biogas Roadmap focuses on biogas produced through anaerobic digestion and is limited to the treatment of organic matter from different types of waste or materials of agricultural origin It establishes an objective for 2030 of biogas production of at least 10 41 TWh per year which means multiplying by 3 8 times the production of the year 2020 In the transport sector biogas and biomethane will contribute to Spain reaching the targets set in the PNIEC of 28 renewable energy br Achieving the targets set for 2030 has a highly positive environmental impact as it will reduce annual emissions of 2 1 Mtons of CO2eq into the atmosphereIt uses Strategies, agendas and plans, Strategies, agendas and plans as policy instruments.",180
Norway,STRATEGY FOR DIGITAL TRANSFORMATION IN THE HIGHER EDUCATION SECTOR,"Norway's STRATEGY FOR DIGITAL TRANSFORMATION IN THE HIGHER EDUCATION SECTOR (2021 - 2025). The purpose of the strategy is to provide direction for the further digital transformation in a way that better enables the higher education sector to meet society s need for knowledge and skills It has the following objectives: Digitalisation for flexible education Digital innovation in teaching and learning Digital themes methods and skills in all subjects Open science and new research opportunities Utilize data about the education and research sector Management and culture for digital transformationIt uses Strategies, agendas and plans as policy instruments.",97
Spain,ROADMAP FOR THE DEVELOPMENT OF OFFSHORE WIND AND SEA ENERGY IN SPAIN,"Spain's ROADMAP FOR THE DEVELOPMENT OF OFFSHORE WIND AND SEA ENERGY IN SPAIN (2021 - Ongoing). The Roadmap is aimed at strengthening Spanish leadership in technological development and R D of the different clean sources that take advantage of marine natural resources with special attention to wind It also guarantees the orderly deployment of the facilities in the territorial waters so that it is respectful of the environment compatible with other uses and activities and is used to improve knowledge of the marine environment It has the following objectives: Turn Spain into a European reference pole for research technological development and environmental innovation associated with renewable energies in the marine environment Turn Spain into an international benchmark in industrial capacities and in the entire value chain of the sector Promote a compatible and sustainable development of marine renewables from an environmental and social point of view Establish an adequate state framework for the orderly deployment of marine renewables Contribute to the reduction of greenhouse gas emissionsIt uses Strategies, agendas and plans, Strategies, agendas and plans as policy instruments.",178
Spain,GRANTS FOR RESEARCH PROJECTS ON ADDICTIONS,Spain's GRANTS FOR RESEARCH PROJECTS ON ADDICTIONS (2000 - Ongoing). Financing of research projects on addictions carried out by public or private non profit entities It has the following objectives: Promote at the state level research activity on drugs and other addictions and propose priority lines of investigation that are considered of interest for the objectives of the National Plan on DrugsIt uses Project grants for public research as policy instruments. and it has a budget of 1M-5M euros.,79
Spain,RESEARCH PROJECTS FOR THE PREVENTION OF GAMBLING DISORDERS,Spain's RESEARCH PROJECTS FOR THE PREVENTION OF GAMBLING DISORDERS (2022 - Ongoing). Subsidies for the development of research related to the prevention of gambling disorders with the effects of said disorders or with the risks associated with this activity It has the following objectives: Promote scientific knowledge about the effects of gambling and the risks associated with this activity from all possible perspectivesIt uses Project grants for public research as policy instruments. and it has a budget of 1M-5M euros.,80
Portugal,SECTORAL COUNCILS FOR QUALIFICATION,Portugal's SECTORAL COUNCILS FOR QUALIFICATION (2022 - Ongoing). CSQs support the National Agency for Qualifications and Vocational Education and Training ANQEP IP in updating the National Catalogue of Qualifications CNQ It has the following objectives: Identify strategic and essential qualifications for the different sectors of the economy in response to labour market challengesIt uses Formal consultation of stakeholders or experts as policy instruments.,63
Finland,DEVELOP2,Finland's DEVELOP2 (2023 - 2026). DEVELOP2 the Academy Programme for Development Research is a research programme jointly funded by the Academy of Finland and the Ministry for Foreign Affairs of Finland It has the following objectives: Produce new research based knowledge on issues of global development Strengthen and renew high quality phenomenon driven and problem based development research in Finland in the long term and promote its application in developing countries Support cooperation and research on equal terms between universities and research institutes in Finland and developing countries and strengthen the research capacity of universities and br research institutes in developing countries Meet one of the objectives of Finnish development policy and the Agenda 2030 Sustainable br Development Goals to end poverty and to reduce inequality in the world Support broader interaction of research in society and support improved application of research based knowledge both in Finland and the other countries involved Pool scattered research capacity in Finland and promote its international networking promote interdisciplinary cooperation in the field of development research and promote long term and high impact Finnish expertise and multi actor cooperation between research business and non governmental organisations in the target countriesIt uses Project grants for public research as policy instruments. and it has a budget of 5M-20M euros.,213
Spain,STRATEGIC PROJECT FOR ECONOMIC RECOVERY AND TRANSFORMATION Industrial decarbonization,"Spain's STRATEGIC PROJECT FOR ECONOMIC RECOVERY AND TRANSFORMATION Industrial decarbonization (2022 - Ongoing). The strategic project is dedicated to the decarbonisation of the industry and it is aimed at fulfilling the commitment to support the industry in its transition towards models and processes that are more respectful of the environment and contribute to the objective of climate neutrality in 2050 It has the following objectives: Decarbonization of production processes allowing the viability of industries in the medium and long term Improvement of energy efficiency through the incorporation of the best available technologies in the industries and implementation of energy management systems Improve the competitiveness of the manufacturing sector The manufacturing industry will have to face a significant challenge of reducing emissions and in order to remain competitive it will be essential to support investments in decarbonization Promote energy security in Spain and the use of renewable energy The manufacturing industry is responsible for 30 of natural gas consumption in Spain 59 if electricity generation is excluded so reducing this consumption will be essential to guarantee Spain s energy security while will contribute to reduce dependence on fossil fuels Promote improvement of the environment by supporting the use of by products and the recovery of waste to integrate them into other processes and thus reduce the environmental impact of products throughout their life cycle Creation of employment with high added value The decarbonization of the industry will be accompanied by greater training of professionals who will have the necessary skills to be able to implement less polluting technologiesIt uses Strategies, agendas and plans as policy instruments. and it has a budget of More than 500M euros.",275
Belgium Federal government,IPCEI,Belgium Federal government's IPCEI (2021 - Ongoing). The Important Project of Common European Interest IPCEI is a European mechanism which allows Member States public authorities to finance initiatives beyond the limits usually set by EU state aid rules It has the following objectives: To promote innovation in strategic and future oriented industrial fields through transnational European projectsIt uses Science and technology regulation and soft law as policy instruments.,68
